entity,code,year_value,other_portion,alcohol_portion,sugar_portion,dairy_eggs_portion,fruit_vegetables_portion,starchy_roots_portion,pulses_portion,cereals_grains_portion,oils_fats_portion,meat_portion,total_kilocalories,share_obese_adults
Malaysia,MYS,1992,0.014456089627755691,0.002529815684857246,0.1319118178532707,0.05890856523310445,0.0375858330321648,0.019515720997470183,0.0093964582580412,0.4318756776292013,0.17166606432959886,0.1221539573545356,2767,3.9
Malaysia,MYS,1993,0.015016088666428316,0.001787629603146228,0.1387200572041473,0.05863425098319628,0.03789774758670004,0.019306399713979263,0.008580622095101895,0.42617089739006075,0.16875223453700394,0.12513407222023595,2797,4.2
Malaysia,MYS,1994,0.014809590973201692,0.0014104372355430183,0.14703808180535965,0.05959097320169252,0.03737658674188998,0.015867418899858956,0.00846262341325811,0.42207334273624825,0.16431593794076163,0.12905500705218617,2836,4.5
Malaysia,MYS,1995,0.012002743484224965,0.0013717421124828531,0.16289437585733882,0.059670781893004114,0.03737997256515775,0.013374485596707819,0.009259259259259259,0.4125514403292181,0.16117969821673525,0.13031550068587106,2916,4.8
Malaysia,MYS,1996,0.011627906976744186,0.001709986320109439,0.176812585499316,0.05711354309165527,0.041723666210670314,0.012995896032831737,0.012995896032831737,0.4110807113543092,0.14671682626538987,0.12722298221614228,2924,5.1
Malaysia,MYS,1997,0.010660247592847318,0.0017193947730398899,0.15990371389270977,0.05639614855570839,0.03576341127922971,0.012035763411279229,0.012035763411279229,0.4350068775790922,0.14752407152682256,0.12895460797799174,2908,5.5
Malaysia,MYS,1998,0.013157894736842105,0.002077562326869806,0.157202216066482,0.04847645429362881,0.035318559556786706,0.01038781163434903,0.007617728531855956,0.4466759002770083,0.1561634349030471,0.1229224376731302,2888,5.9
Malaysia,MYS,1999,0.014089347079037801,0.0013745704467353953,0.15463917525773196,0.050515463917525774,0.036426116838487975,0.009278350515463918,0.00859106529209622,0.4446735395189003,0.1676975945017182,0.11271477663230241,2910,6.3
Malaysia,MYS,2000,0.014079549454417459,0.0017599436818021823,0.1397395283350933,0.05315029919042591,0.037310806054206266,0.008095740936290039,0.008447729672650475,0.4508975712777191,0.17212249208025343,0.11439633931714185,2841,6.7
Malaysia,MYS,2001,0.01596310748492373,0.002128414331323164,0.14721532458318554,0.056757715501951043,0.03831145796381696,0.008158921603405462,0.008158921603405462,0.4352607307555871,0.16991841078396594,0.11812699538843562,2819,7.1
Malaysia,MYS,2002,0.016943042537851477,0.0021629416005767843,0.13302090843547223,0.05371304974765681,0.03965392934390771,0.007930785868781542,0.00829127613554434,0.4390771449170872,0.17627974044700792,0.12292718096611391,2774,7.6
Malaysia,MYS,2003,0.017537580529706515,0.0021474588403722263,0.13600572655690765,0.05583392984967788,0.03686471009305655,0.0071581961345740875,0.008589835361488905,0.44881889763779526,0.16607015032211883,0.12097351467430208,2794,8
Malaysia,MYS,2004,0.020155586987270154,0.0021216407355021216,0.12199434229137199,0.05374823196605375,0.03642149929278642,0.009547383309759547,0.009193776520509194,0.458981612446959,0.16725601131541726,0.12057991513437058,2828,8.5
Malaysia,MYS,2005,0.02184813753581662,0.0014326647564469914,0.10601719197707736,0.05336676217765043,0.039040114613180514,0.008595988538681949,0.01002865329512894,0.4745702005730659,0.1615329512893983,0.12356733524355301,2792,9
Malaysia,MYS,2006,0.027055891776432896,0.001423994304022784,0.1228195087219651,0.05055179779280883,0.03773584905660377,0.0088999644001424,0.009611961552153792,0.4599501601993592,0.15521537913848343,0.12673549305802778,2809,9.5
Malaysia,MYS,2007,0.027131782945736434,0.0017618040873854828,0.1338971106412967,0.04510218463706836,0.035236081747709654,0.00810429880197322,0.0102184637068358,0.45771670190274844,0.15644820295983086,0.12438336856941508,2838,10
Malaysia,MYS,2008,0.021528525296017224,0.001794043774668102,0.13706494438464298,0.03911015428776462,0.03444564047362755,0.007893792608539648,0.006099748833871547,0.46214567635450304,0.16648726228919986,0.1234302116971654,2787,10.5
Malaysia,MYS,2009,0.023599859105318775,0.0017611835153222965,0.1412469179288482,0.04614300810144417,0.03557590700951039,0.009510390982740402,0.010214864388869321,0.44945403311025006,0.15780204297287778,0.1246917928848186,2839,11
Malaysia,MYS,2010,0.02329624478442281,0.0027816411682892906,0.13873435326842837,0.04937413073713491,0.03859527121001391,0.009040333796940195,0.009735744089012517,0.4381084840055633,0.16237830319888735,0.12795549374130738,2876,11.5
Malaysia,MYS,2011,0.02353755624783662,0.003115264797507788,0.13845621322256838,0.04534440983039114,0.03876773970231914,0.009345794392523364,0.010384215991692628,0.4423676012461059,0.16268605053651783,0.12599515403253722,2889,12.1
Malaysia,MYS,2012,0.025163736642537057,0.003447087211306446,0.14098586694243365,0.04274388142019993,0.038262668045501554,0.011375387797311272,0.009651844191658049,0.4367459496725267,0.16442605997931747,0.12719751809720786,2901,12.7
Malaysia,MYS,2013,0.026406035665294925,0.0037722908093278463,0.14094650205761317,0.04183813443072702,0.0387517146776406,0.010631001371742112,0.009945130315500686,0.4382716049382716,0.16015089163237312,0.12928669410150892,2916,13.4
Maldives,MDV,1975,0.011217049915872126,0,0.1531127313516545,0,0.07010656197420079,0.05832865956253505,0.056646102075154234,0.4296130117779024,0.09983174425126191,0.12114413909141895,1783,0.5
Maldives,MDV,1976,0.010454783063251438,0,0.12650287506534239,0,0.06534239414532149,0.05541035023523262,0.05331939362258233,0.47569262937794043,0.09775222164140095,0.11552535284892838,1913,0.6
Maldives,MDV,1977,0.009819121447028423,0,0.1235142118863049,0,0.06356589147286822,0.053229974160206715,0.047545219638242896,0.5255813953488372,0.08992248062015504,0.08682170542635659,1935,0.6
Maldives,MDV,1978,0.009847365829640572,0,0.12358444116198916,0,0.06006893156080748,0.04677498769079271,0.04431314623338257,0.5381585425898572,0.08222550467749877,0.09502708025603152,2031,0.6
Maldives,MDV,1979,0.008886810102899906,0,0.12394761459307764,0,0.05612722170252572,0.04864359214218896,0.042095416276894296,0.5682881197380729,0.07109448082319925,0.08091674462114125,2138,0.7
Maldives,MDV,1980,0.008837825894829872,0,0.12505523641184269,0,0.05214317277949625,0.04684047724259832,0.04021210782147592,0.5563411400795404,0.0897039328325232,0.08086610693769333,2263,0.7
Maldives,MDV,1981,0.008300567933595456,0,0.127129750982962,0,0.05067715159458279,0.045434687636522496,0.03844473569244211,0.5508955875928353,0.08431629532546964,0.09480122324159021,2289,0.8
Maldives,MDV,1982,0.00816151202749141,0,0.12156357388316151,0,0.04982817869415808,0.04252577319587629,0.037800687285223365,0.5695876288659794,0.08290378006872852,0.08762886597938144,2328,0.9
Maldives,MDV,1983,0.008684324793747287,0,0.12375162831089882,0,0.05123751628310899,0.04168475900998697,0.03560573165436387,0.5271385149804603,0.0911854103343465,0.12071211463308727,2303,0.9
Maldives,MDV,1984,0.007384882710686359,0,0.12510860121633363,0,0.05039096437880104,0.04039965247610773,0.03431798436142485,0.5065160729800173,0.09339704604691572,0.1424847958297133,2302,1
Maldives,MDV,1985,0.00779896013864818,0,0.12478336221837089,0,0.04852686308492201,0.039428076256499134,0.03292894280762565,0.5095320623916811,0.09098786828422877,0.14601386481802425,2308,1.1
Maldives,MDV,1986,0.0076726342710997444,0.002131287297527707,0.14492753623188406,0.021739130434782608,0.04816709292412617,0.03751065643648764,0.036231884057971016,0.49104859335038364,0.08908780903665814,0.12148337595907928,2346,1.1
Maldives,MDV,1987,0.00794351279788173,0.003089143865842895,0.1496028243601059,0.02383053839364519,0.04677846425419241,0.037069726390114736,0.038393645189761696,0.47925860547219773,0.09090909090909091,0.12312444836716681,2266,1.2
Maldives,MDV,1988,0.0078397212543554,0.003484320557491289,0.13893728222996515,0.020905923344947737,0.04573170731707317,0.035278745644599305,0.03702090592334495,0.4738675958188153,0.09146341463414634,0.14547038327526132,2296,1.3
Maldives,MDV,1989,0.016522098306484923,0.01197852127220157,0.1503510945890128,0.01486988847583643,0.055349029326724496,0.03676166873192895,0.034283353985956215,0.4555968608013218,0.11648079306071871,0.10780669144981413,2421,1.4
Maldives,MDV,1990,0.0069868995633187774,0.003930131004366812,0.1759825327510917,0.03056768558951965,0.021834061135371178,0.04017467248908297,0.03580786026200873,0.4790393013100437,0.1091703056768559,0.0965065502183406,2290,1.5
Maldives,MDV,1991,0.006756756756756757,0.0029560810810810812,0.1735641891891892,0.03420608108108108,0.02322635135135135,0.03758445945945946,0.03251689189189189,0.48521959459459457,0.1097972972972973,0.0941722972972973,2368,1.6
Maldives,MDV,1992,0.005919661733615222,0.0033826638477801266,0.16913319238900634,0.035940803382663845,0.023678646934460888,0.03382663847780127,0.030021141649048625,0.4630021141649049,0.10443974630021141,0.1306553911205074,2365,1.6
